Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
68,8.16,2874.88,201939,21.145,3.9413,26.1759,-0.1598,20.8997,3.1193,20.6747,3.9306,6.4907,0.8578,0.4704,10.2634,0.7271,0.3989
69,8.28,2874.76,201939,21.0065,3.9652,20.5536,3.7902,20.9483,3.5589,20.8517,3.7641,0.4855,0.4104,0.2538,10.2634,0.7271,0.3989
70,8.4,2874.64,201939,20.8303,4.0054,19.6198,4.5659,20.8349,3.8859,20.9169,3.716,1.334,0.1196,0.3021,10.2634,0.7271,0.3989
71,8.52,2874.52,201939,20.5995,4.1206,21.2007,3.5356,21.0454,3.6233,20.9888,3.695,0.8388,0.6679,0.5768,10.2634,0.7271,0.3989
72,8.64,2874.4,201939,20.4119,4.3081,24.274,0.8235,20.8115,3.052,20.7297,3.5719,5.2018,1.3182,0.8019,10.2634,0.7271,0.3989
73,8.76,2874.28,201939,20.284,4.5837,17.1212,6.8464,20.3746,5.6761,20.7946,4.1655,3.8888,1.0961,0.66,10.2634,0.7271,0.3989
74,8.88,2874.16,201939,20.1763,4.9241,-19.0904,25.3898,20.0758,4.0356,20.1703,4.3618,44.28,0.8942,0.5623,10.2634,0.7271,0.3989
75,9.0,2874.04,201939,20.1119,5.3274,17.269,6.8177,20.0433,5.9512,20.267,4.8751,3.2099,0.6276,0.4782,10.2634,0.7271,0.3989
76,9.12,2873.92,201939,20.0493,5.7101,17.6663,7.0507,20.3068,6.5334,20.429,5.5055,2.7342,0.8627,0.4313,10.2634,0.7271,0.3989
77,9.24,2873.8,201939,20.1054,6.1449,16.0319,7.62,20.0379,7.4687,20.3087,6.2767,4.3324,1.3255,0.2423,10.2634,0.7271,0.3989
78,9.36,2873.68,201939,20.2146,6.5408,-1.503,11.5689,20.0452,5.8967,20.0627,6.2551,22.2921,0.666,0.3236,10.2634,0.7271,0.3989
79,9.48,2873.56,201939,20.2787,6.921,20.4153,6.7713,20.5487,6.7529,20.409,6.5012,0.2027,0.3181,0.4396,10.2634,0.7271,0.3989
